name,weight,championship_name,weight_category_name,class_category_name,first,second,third,rank,use_gear,gender
木村 育史,58.85,第２４回全日本ベンチプレス選手権大会,59kg,一般,190,197.5,-203,1,TRUE,male
中田 和夫,57.4,第２４回全日本ベンチプレス選手権大会,59kg,一般,180,-190,-197.5,2,TRUE,male
池田 尚也,58.65,第２４回全日本ベンチプレス選手権大会,59kg,一般,180,-195,-197.5,3,TRUE,male
伊差川 浩之,58.6,第２４回全日本ベンチプレス選手権大会,59kg,一般,-170,170,-180,4,TRUE,male
岩崎 量也,58.6,第２４回全日本ベンチプレス選手権大会,59kg,一般,160,-165,-165,5,TRUE,male
中野 衛,58.7,第２４回全日本ベンチプレス選手権大会,59kg,一般,-160,160,-165,6,TRUE,male
木田 祐大,57.75,第２４回全日本ベンチプレス選手権大会,59kg,一般,140,150,-160,7,TRUE,male
柴村 龍之介,57.75,第２４回全日本ベンチプレス選手権大会,59kg,一般,-145,145,147.5,8,TRUE,male
大石 昌宏,58.25,第２４回全日本ベンチプレス選手権大会,59kg,一般,-145,145,-152.5,9,TRUE,male
谷口 隆実,58.55,第２４回全日本ベンチプレス選手権大会,59kg,一般,107.5,112.5,-115,10,TRUE,male
谷内 政公,58.65,第２４回全日本ベンチプレス選手権大会,59kg,一般,-135,-135,-135,,TRUE,male
中山 久幸,63.25,第２４回全日本ベンチプレス選手権大会,66kg,一般,230,235,-237.5,1,TRUE,male
高橋 恵介,65.7,第２４回全日本ベンチプレス選手権大会,66kg,一般,220,-232.5,-235.5,2,TRUE,male
久米 亮平,65.8,第２４回全日本ベンチプレス選手権大会,66kg,一般,185,192.5,200,3,TRUE,male
枦山 隆,65.35,第２４回全日本ベンチプレス選手権大会,66kg,一般,-190,192.5,-200,4,TRUE,male
石川 拓也,65.6,第２４回全日本ベンチプレス選手権大会,66kg,一般,185,190,-195,5,TRUE,male
田中 勝之,65.4,第２４回全日本ベンチプレス選手権大会,66kg,一般,160,170,185,6,TRUE,male
西村 義人,65.95,第２４回全日本ベンチプレス選手権大会,66kg,一般,185,-200,-202.5,7,TRUE,male
広永 賢司,65.45,第２４回全日本ベンチプレス選手権大会,66kg,一般,160,170,172.5,8,TRUE,male
